index,process_stage,name,op,target,args,users,shape,dtype,device,args_repr,kwargs_repr
0,inputs,arg0_1,placeholder,arg0_1,,,"[3, 4096]",int64,cuda:0,(),{}
1,inputs,arg1_1,placeholder,arg1_1,,_to_copy add_3,"[4096, 5120]",bfloat16,cuda:0,(),{}
2,inputs,arg2_1,placeholder,arg2_1,,,,,,(),{}
3,input_rmsnorm,_param_constant0,get_attr,_param_constant0,,detach,[5120],bfloat16,cuda:0,(),{}
4,input_rmsnorm,detach,call_function,aten.detach.default,_param_constant0,_to_copy_1,[5120],bfloat16,cuda:0,"(_param_constant0,)",{}
5,input_rmsnorm,_to_copy,call_function,aten._to_copy.default,arg1_1,mul pow_1,"[4096, 5120]",float32,cuda:0,"(arg1_1,)",{'dtype': torch.float32}
6,input_rmsnorm,pow_1,call_function,aten.pow.Tensor_Scalar,_to_copy,mean,"[4096, 5120]",float32,cuda:0,"(_to_copy, 2)",{}
7,input_rmsnorm,mean,call_function,aten.mean.dim,pow_1,add,"[4096, 1]",float32,cuda:0,"(pow_1, [-1], True)",{}
8,input_rmsnorm,add,call_function,aten.add.Tensor,mean,rsqrt,"[4096, 1]",float32,cuda:0,"(mean, 1e-06)",{}
9,input_rmsnorm,rsqrt,call_function,aten.rsqrt.default,add,mul,"[4096, 1]",float32,cuda:0,"(add,)",{}
10,input_rmsnorm,mul,call_function,aten.mul.Tensor,_to_copy rsqrt,mul_1,"[4096, 5120]",float32,cuda:0,"(_to_copy, rsqrt)",{}
11,input_rmsnorm,_to_copy_1,call_function,aten._to_copy.default,detach,add_1,[5120],float32,cuda:0,"(detach,)",{'dtype': torch.float32}
12,input_rmsnorm,add_1,call_function,aten.add.Tensor,_to_copy_1,mul_1,[5120],float32,cuda:0,"(_to_copy_1, 1.0)",{}
13,input_rmsnorm,mul_1,call_function,aten.mul.Tensor,mul add_1,_to_copy_2,"[4096, 5120]",float32,cuda:0,"(mul, add_1)",{}
14,input_rmsnorm,_to_copy_2,call_function,aten._to_copy.default,mul_1,empty_like mm mm_1,"[4096, 5120]",bfloat16,cuda:0,"(mul_1,)",{'dtype': torch.bfloat16}
15,input_rmsnorm,empty_like,call_function,aten.empty_like.default,_to_copy_2,copy_,"[4096, 5120]",bfloat16,cuda:0,"(_to_copy_2,)",{'pin_memory': False}
16,qkv_projection,_param_constant1,get_attr,_param_constant1,,t,"[16384, 5120]",bfloat16,cuda:0,(),{}
17,qkv_projection,t,call_function,aten.t.default,_param_constant1,mm,"[5120, 16384]",bfloat16,cuda:0,"(_param_constant1,)",{}
18,qkv_projection,mm,call_function,aten.mm.default,_to_copy_2 t,split_with_sizes,"[4096, 16384]",bfloat16,cuda:0,"(_to_copy_2, t)",{}
19,qkv_projection,split_with_sizes,call_function,aten.split_with_sizes.default,mm,getitem getitem_1,,,,"(mm, [10240, 6144], -1)",{}
20,qkv_projection,getitem,call_function,<built-in function getitem>,split_with_sizes,gdn_attention_core,"[4096, 10240]",bfloat16,cuda:0,"(split_with_sizes, 0)",{}
21,qkv_projection,getitem_1,call_function,<built-in function getitem>,split_with_sizes,view,"[4096, 6144]",bfloat16,cuda:0,"(split_with_sizes, 1)",{}
22,qkv_projection,view,call_function,aten.view.default,getitem_1,clone_2,"[4096, 48, 128]",bfloat16,cuda:0,"(getitem_1, [4096, 48, 128])",{}
23,qkv_projection,_param_constant2,get_attr,_param_constant2,,t_1,"[96, 5120]",bfloat16,cuda:0,(),{}
24,qkv_projection,t_1,call_function,aten.t.default,_param_constant2,mm_1,"[5120, 96]",bfloat16,cuda:0,"(_param_constant2,)",{}
25,qkv_projection,mm_1,call_function,aten.mm.default,_to_copy_2 t_1,split,"[4096, 96]",bfloat16,cuda:0,"(_to_copy_2, t_1)",{}
26,qkv_projection,split,call_function,aten.split.Tensor,mm_1,getitem_2 getitem_3,,,,"(mm_1, 48, -1)",{}
27,qkv_projection,getitem_2,call_function,<built-in function getitem>,split,clone,"[4096, 48]",bfloat16,cuda:0,"(split, 0)",{}
28,qkv_projection,getitem_3,call_function,<built-in function getitem>,split,clone_1,"[4096, 48]",bfloat16,cuda:0,"(split, 1)",{}
29,qkv_projection,clone,call_function,aten.clone.default,getitem_2,gdn_attention_core,"[4096, 48]",bfloat16,cuda:0,"(getitem_2,)",{'memory_format': torch.contiguous_format}
30,qkv_projection,clone_1,call_function,aten.clone.default,getitem_3,gdn_attention_core,"[4096, 48]",bfloat16,cuda:0,"(getitem_3,)",{'memory_format': torch.contiguous_format}
31,qkv_projection,zeros,call_function,aten.zeros.default,,gdn_attention_core view_1,"[4096, 48, 128]",bfloat16,cuda:0,"([4096, 48, 128],)","{'dtype': torch.bfloat16, 'device': device(type='cuda', index=0), 'pin_memory': False}"
32,gdn_recurrent_core,gdn_attention_core,call_function,vllm.gdn_attention_core.default,getitem clone clone_1 zeros,,,,,"(getitem, clone, clone_1, zeros, 'language_model.model.layers.0.linear_attn')",{}
33,gdn_gated_rmsnorm,view_1,call_function,aten.view.default,zeros,_to_copy_3,"[196608, 128]",bfloat16,cuda:0,"(zeros, [-1, 128])",{}
34,gdn_gated_rmsnorm,clone_2,call_function,aten.clone.default,view,_unsafe_view,"[4096, 48, 128]",bfloat16,cuda:0,"(view,)",{'memory_format': torch.contiguous_format}
35,gdn_gated_rmsnorm,_unsafe_view,call_function,aten._unsafe_view.default,clone_2,_to_copy_5,"[196608, 128]",bfloat16,cuda:0,"(clone_2, [196608, 128])",{}
36,gdn_gated_rmsnorm,_to_copy_3,call_function,aten._to_copy.default,view_1,mul_2 pow_2,"[196608, 128]",float32,cuda:0,"(view_1,)",{'dtype': torch.float32}
